分类: 📺央视卫视, 名称: CCTV-1, 有效: 5, IPv4: 74, IPv6: 0, 最小延迟: 491 ms, 最高速率: 5.82 M/s, 平均速率: 3.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-2, 有效: 5, IPv4: 73, IPv6: 0, 最小延迟: 46 ms, 最高速率: 14.60 M/s, 平均速率: 8.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-3, 有效: 5, IPv4: 74, IPv6: 0, 最小延迟: 607 ms, 最高速率: 5.93 M/s, 平均速率: 4.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-4, 有效: 5, IPv4: 83, IPv6: 0, 最小延迟: 534 ms, 最高速率: 3.98 M/s, 平均速率: 1.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-5, 有效: 5, IPv4: 75, IPv6: 0, 最小延迟: 564 ms, 最高速率: 6.52 M/s, 平均速率: 4.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-6, 有效: 5, IPv4: 79, IPv6: 0, 最小延迟: 449 ms, 最高速率: 6.51 M/s, 平均速率: 4.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-5+, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 612 ms, 最高速率: 6.79 M/s, 平均速率: 4.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-7, 有效: 5, IPv4: 68, IPv6: 0, 最小延迟: 577 ms, 最高速率: 6.04 M/s, 平均速率: 4.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-8, 有效: 5, IPv4: 67, IPv6: 0, 最小延迟: 440 ms, 最高速率: 6.87 M/s, 平均速率: 3.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-9, 有效: 5, IPv4: 66, IPv6: 0, 最小延迟: 578 ms, 最高速率: 7.22 M/s, 平均速率: 3.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-10, 有效: 5, IPv4: 72, IPv6: 0, 最小延迟: 531 ms, 最高速率: 3.36 M/s, 平均速率: 2.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-11, 有效: 5, IPv4: 66, IPv6: 0, 最小延迟: 52 ms, 最高速率: 12.53 M/s, 平均速率: 9.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视卫视, 名称: CCTV-12, 有效: 5, IPv4: 68, IPv6: 0, 最小延迟: 44 ms, 最高速率: 14.18 M/s, 平均速率: 8.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视卫视, 名称: CCTV-13, 有效: 5, IPv4: 69, IPv6: 0, 最小延迟: 454 ms, 最高速率: 5.81 M/s, 平均速率: 2.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-14, 有效: 5, IPv4: 57, IPv6: 0, 最小延迟: 454 ms, 最高速率: 6.49 M/s, 平均速率: 3.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-15, 有效: 5, IPv4: 73, IPv6: 0, 最小延迟: 480 ms, 最高速率: 7.20 M/s, 平均速率: 3.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-16, 有效: 3, IPv4: 18, IPv6: 0, 最小延迟: 551 ms, 最高速率: 6.59 M/s, 平均速率: 4.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CCTV-17, 有效: 5, IPv4: 48, IPv6: 0, 最小延迟: 461 ms, 最高速率: 6.36 M/s, 平均速率: 2.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CETV-1, 有效: 4, IPv4: 43, IPv6: 0, 最小延迟: 30 ms, 最高速率: 19.44 M/s, 平均速率: 13.23 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CETV-3, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 603 ms, 最高速率: 4.40 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CETV-4, 有效: 0, IPv4: 35, IPv6: 0, 最小延迟: 607 ms, 最高速率: 4.42 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: CETV-2, 有效: 1, IPv4: 29, IPv6: 0, 最小延迟: 34 ms, 最高速率: 19.47 M/s, 平均速率: 19.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 浙江卫视, 有效: 5, IPv4: 41, IPv6: 0, 最小延迟: 402 ms, 最高速率: 7.61 M/s, 平均速率: 3.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 湖南卫视, 有效: 5, IPv4: 51, IPv6: 0, 最小延迟: 360 ms, 最高速率: 6.70 M/s, 平均速率: 4.45 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 北京卫视, 有效: 5, IPv4: 60, IPv6: 0, 最小延迟: 58 ms, 最高速率: 6.50 M/s, 平均速率: 3.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 山东卫视, 有效: 4, IPv4: 27, IPv6: 0, 最小延迟: 389 ms, 最高速率: 5.17 M/s, 平均速率: 3.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.29, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视卫视, 名称: 湖北卫视, 有效: 5, IPv4: 69, IPv6: 0, 最小延迟: 34 ms, 最高速率: 18.00 M/s, 平均速率: 7.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 黑龙江卫视, 有效: 5, IPv4: 35, IPv6: 0, 最小延迟: 602 ms, 最高速率: 6.20 M/s, 平均速率: 3.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 安徽卫视, 有效: 5, IPv4: 33, IPv6: 0, 最小延迟: 687 ms, 最高速率: 7.03 M/s, 平均速率: 3.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 重庆卫视, 有效: 5, IPv4: 56, IPv6: 0, 最小延迟: 444 ms, 最高速率: 6.16 M/s, 平均速率: 4.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 东方卫视, 有效: 5, IPv4: 57, IPv6: 0, 最小延迟: 685 ms, 最高速率: 6.80 M/s, 平均速率: 3.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 东南卫视, 有效: 5, IPv4: 48, IPv6: 0, 最小延迟: 61 ms, 最高速率: 61.15 M/s, 平均速率: 3.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视卫视, 名称: 甘肃卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 615 ms, 最高速率: 5.43 M/s, 平均速率: 4.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 广西卫视, 有效: 5, IPv4: 44, IPv6: 0, 最小延迟: 404 ms, 最高速率: 7.10 M/s, 平均速率: 4.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视卫视, 名称: 贵州卫视, 有效: 4, IPv4: 39, IPv6: 0, 最小延迟: 66 ms, 最高速率: 61.77 M/s, 平均速率: 4.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.62, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视卫视, 名称: 海南卫视, 有效: 2, IPv4: 43, IPv6: 0, 最小延迟: 55 ms, 最高速率: 66.04 M/s, 平均速率: 3.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.82, 视频编解码器: h264, 音频编解码器: mp2
